Q (mW/m2),U (mW/m2),X,Y,Lat,Lon
84.868,55.076,731531,-2497297,-66.377,163.673
81.472,45.526,781982,-2497297,-66.248,162.613
86.683,44.977,630630,-2446846,-67.044,165.548
85.852,49.681,681081,-2446846,-66.928,164.445
96.365,65.101,731531,-2446846,-66.804,163.355
83.361,41.676,630630,-2396396,-67.476,165.256
82.176,41.919,681081,-2396396,-67.358,164.134
65.696,30.081,781982,-2144144,-69.216,159.963
70.178,37.987,832432,-2144144,-69.058,158.782
54.817,24.012,882882,-2144144,-68.891,157.62
53.11,24.342,933333,-2144144,-68.716,156.477
51.73,28.77,983783,-2144144,-68.533,155.353
51.864,25.157,1034234,-2144144,-68.342,154.25
55.435,26.145,1084684,-2144144,-68.143,153.166
94.235,50.877,428828,-2093693,-70.513,168.425
79.607,35.544,479279,-2093693,-70.417,167.106
76.313,34.464,529729,-2093693,-70.311,165.801
78.604,32.211,580180,-2093693,-70.196,164.512
75.955,38.532,630630,-2093693,-70.07,163.237
63.015,29.584,681081,-2093693,-69.936,161.98
64.773,31.023,731531,-2093693,-69.792,160.741
56.46,23.03,781982,-2093693,-69.639,159.52
53.306,23.373,832432,-2093693,-69.477,158.318
57.8,22.739,882882,-2093693,-69.306,157.136
55.288,20.504,933333,-2093693,-69.127,155.974
47.842,18.912,983783,-2093693,-68.94,154.832
44.024,23.887,1034234,-2093693,-68.745,153.712
48.85,19.958,1084684,-2093693,-68.542,152.613
51.565,20.718,1135135,-2093693,-68.332,151.535
60.812,25.593,1185585,-2093693,-68.115,150.479
56.062,20.331,1236036,-2093693,-67.89,149.444
55.045,19.871,1488288,-2093693,-66.673,144.593
61.224,20.946,1538738,-2093693,-66.411,143.686
101.848,60.927,327927,-2043243,-71.12,170.882
83.876,38.581,378378,-2043243,-71.043,169.509
83.719,45.172,428828,-2043243,-70.955,168.147
77.334,32.9,479279,-2043243,-70.857,166.799
71.497,29.791,529729,-2043243,-70.749,165.466
67.283,33.633,580180,-2043243,-70.63,164.148
58.608,29.268,630630,-2043243,-70.502,162.848
60.324,27.04,681081,-2043243,-70.364,161.565
64.871,25.658,731531,-2043243,-70.217,160.301
57.491,23.687,781982,-2043243,-70.06,159.057
51.211,20.316,832432,-2043243,-69.894,157.834
57.58,21.242,882882,-2043243,-69.72,156.631
57.804,23.05,933333,-2043243,-69.537,155.45
56.476,21.907,983783,-2043243,-69.346,154.29
63.488,24.972,1034234,-2043243,-69.147,153.153
49.324,19.828,1084684,-2043243,-68.94,152.038
50.786,17.379,1135135,-2043243,-68.725,150.945
56.651,20.32,1185585,-2043243,-68.504,149.876
54.475,21.44,1236036,-2043243,-68.275,148.829
52.794,19.257,1286486,-2043243,-68.04,147.804
51.448,19.292,1336936,-2043243,-67.798,146.802
53.232,20.243,1387387,-2043243,-67.549,145.823
51.247,19.93,1437837,-2043243,-67.295,144.866
59.033,20.022,1488288,-2043243,-67.035,143.931
62.031,18.109,1538738,-2043243,-66.769,143.017
62.338,20.699,1589189,-2043243,-66.498,142.125
86.911,64.53,327927,-1992792,-71.567,170.655
79.374,35.097,378378,-1992792,-71.488,169.249
81.347,40.157,428828,-1992792,-71.398,167.856
73.482,37.365,479279,-1992792,-71.297,166.477
68.324,27.157,529729,-1992792,-71.186,165.114
58.874,26.069,580180,-1992792,-71.065,163.768
53.254,25.437,630630,-1992792,-70.933,162.44
55.729,23.921,681081,-1992792,-70.792,161.131
59.927,23.718,731531,-1992792,-70.641,159.842
53.733,27.29,781982,-1992792,-70.481,158.575
62.195,21.894,832432,-1992792,-70.311,157.329
60.376,20.59,882882,-1992792,-70.133,156.105
58.872,20.533,933333,-1992792,-69.946,154.904
60.924,22.449,983783,-1992792,-69.751,153.726
62.276,25.792,1034234,-1992792,-69.547,152.571
59.318,19.565,1084684,-1992792,-69.336,151.44
60.46,19.369,1135135,-1992792,-69.117,150.333
66.613,21.053,1185585,-1992792,-68.891,149.25
63.954,21.653,1236036,-1992792,-68.658,148.191
64.297,22.038,1286486,-1992792,-68.418,147.155
63.918,23.222,1336936,-1992792,-68.171,146.143
61.044,19.516,1387387,-1992792,-67.918,145.154
57.198,18.325,1437837,-1992792,-67.659,144.189
62.459,18.885,1488288,-1992792,-67.395,143.246
63.195,16.966,1538738,-1992792,-67.124,142.326
64.088,19.462,1589189,-1992792,-66.849,141.429
57.664,22.944,1639639,-1992792,-66.568,140.553
61.054,24.581,1690090,-1992792,-66.282,139.699
79.647,35.306,327927,-1942342,-72.014,170.417
80.202,40.911,378378,-1942342,-71.932,168.977
71.075,32.84,428828,-1942342,-71.84,167.55
83.287,48.068,479279,-1942342,-71.737,166.139
63.399,25.957,529729,-1942342,-71.623,164.745
54.226,28.774,580180,-1942342,-71.499,163.369
56.209,24.47,630630,-1942342,-71.364,162.013
60.448,31.099,681081,-1942342,-71.219,160.677
53.626,22.72,731531,-1942342,-71.065,159.362
58.819,24.951,781982,-1942342,-70.901,158.07
63.936,23.905,832432,-1942342,-70.727,156.801
57.387,21.28,882882,-1942342,-70.545,155.556
58.929,21.525,933333,-1942342,-70.354,154.335
60.38,21.665,983783,-1942342,-70.154,153.138
61.566,19.89,1034234,-1942342,-69.946,151.966
62.801,18.699,1084684,-1942342,-69.73,150.819
60.526,20.03,1135135,-1942342,-69.507,149.697
55.595,20.522,1185585,-1942342,-69.276,148.601
61.403,19.804,1236036,-1942342,-69.038,147.529
61.528,17.653,1286486,-1942342,-68.793,146.482
61.932,17.373,1336936,-1942342,-68.542,145.46
59.691,15.888,1387387,-1942342,-68.285,144.462
58.864,16.233,1437837,-1942342,-68.021,143.489
62.168,14.294,1488288,-1942342,-67.751,142.539
63.643,14.826,1538738,-1942342,-67.476,141.613
61.21,15.697,1589189,-1942342,-67.196,140.711
58.868,16.319,1639639,-1942342,-66.91,139.83
57.407,18.518,1690090,-1942342,-66.62,138.972
57.45,24.479,1740540,-1942342,-66.325,138.136
60.574,23.514,1790991,-1942342,-66.026,137.322
76.249,36.74,327927,-1891891,-72.461,170.166
68.861,37.935,378378,-1891891,-72.377,168.69
79.917,34.351,428828,-1891891,-72.283,167.229
75.643,31.618,479279,-1891891,-72.177,165.784
61.466,26.794,529729,-1891891,-72.06,164.358
60.841,36.202,580180,-1891891,-71.932,162.951
60.44,26.725,630630,-1891891,-71.794,161.565
55.499,21.832,681081,-1891891,-71.646,160.201
56.14,27.708,731531,-1891891,-71.488,158.86
66.099,24.514,781982,-1891891,-71.319,157.543
60.848,21.026,832432,-1891891,-71.142,156.25
58.144,20.464,882882,-1891891,-70.955,154.983
61.262,20.745,933333,-1891891,-70.76,153.741
61.19,21.803,983783,-1891891,-70.555,152.526
59.45,19.052,1034234,-1891891,-70.343,151.336
60.952,19.436,1084684,-1891891,-70.123,150.173
59.22,20.329,1135135,-1891891,-69.894,149.036
52.069,20.148,1185585,-1891891,-69.659,147.926
53.642,20.345,1236036,-1891891,-69.416,146.842
64.66,17.015,1286486,-1891891,-69.167,145.784
57.004,16.999,1336936,-1891891,-68.911,144.752
60.956,15.603,1387387,-1891891,-68.648,143.746
59.903,14.86,1437837,-1891891,-68.38,142.765
57.531,16.205,1488288,-1891891,-68.105,141.809
58.972,15.508,1538738,-1891891,-67.825,140.877
52.684,17.123,1589189,-1891891,-67.54,139.97
52.599,18.149,1639639,-1891891,-67.25,139.086
56.366,18.088,1690090,-1891891,-66.955,138.225
57.4,18.249,1740540,-1891891,-66.655,137.386
54.884,21.821,1790991,-1891891,-66.351,136.569
49.032,17.886,1841441,-1891891,-66.043,135.774
49.295,18.466,1891891,-1891891,-65.73,135.0
74.737,47.894,327927,-1841441,-72.908,169.902
80.026,35.971,378378,-1841441,-72.823,168.389
80.189,36.162,428828,-1841441,-72.725,166.891
85.697,49.696,479279,-1841441,-72.617,165.411
63.199,25.382,529729,-1841441,-72.497,163.951
57.451,22.704,580180,-1841441,-72.366,162.512
63.066,27.791,630630,-1841441,-72.224,161.095
54.079,21.372,681081,-1841441,-72.072,159.702
58.248,19.584,731531,-1841441,-71.909,158.334
56.165,20.786,781982,-1841441,-71.737,156.991
64.467,20.047,832432,-1841441,-71.555,155.674
56.819,20.118,882882,-1841441,-71.364,154.385
68.406,18.155,933333,-1841441,-71.164,153.122
58.098,19.025,983783,-1841441,-70.955,151.887
63.155,19.64,1034234,-1841441,-70.738,150.68
54.803,19.239,1084684,-1841441,-70.513,149.5
53.7,19.086,1135135,-1841441,-70.28,148.349
53.861,18.816,1185585,-1841441,-70.039,147.225
53.002,17.311,1236036,-1841441,-69.792,146.129
59.446,16.802,1286486,-1841441,-69.537,145.061
56.73,16.054,1336936,-1841441,-69.276,144.019
55.48,16.638,1387387,-1841441,-69.009,143.005
58.284,16.302,1437837,-1841441,-68.735,142.016
58.517,16.478,1488288,-1841441,-68.456,141.054
54.374,18.07,1538738,-1841441,-68.171,140.117
53.013,16.315,1589189,-1841441,-67.881,139.205
55.289,13.951,1639639,-1841441,-67.586,138.318
60.997,16.276,1690090,-1841441,-67.286,137.454
44.238,18.326,1740540,-1841441,-66.982,136.614
58.127,18.728,1790991,-1841441,-66.673,135.796
53.811,17.836,1841441,-1841441,-66.36,135.0
47.134,16.657,1891891,-1841441,-66.043,134.226
47.586,16.636,1942342,-1841441,-65.722,133.472
66.006,41.438,327927,-1790991,-73.356,169.624
63.793,33.502,378378,-1790991,-73.268,168.071
67.244,36.343,428828,-1790991,-73.168,166.535
71.104,33.774,479279,-1790991,-73.056,165.018
74.339,24.881,529729,-1790991,-72.933,163.523
62.591,24.348,580180,-1790991,-72.798,162.051
56.341,28.417,630630,-1790991,-72.653,160.602
51.794,21.252,681081,-1790991,-72.497,159.179
45.94,24.359,731531,-1790991,-72.33,157.782
46.831,20.716,781982,-1790991,-72.153,156.413
53.295,20.94,832432,-1790991,-71.967,155.072
51.168,18.167,882882,-1790991,-71.771,153.759
52.367,18.813,933333,-1790991,-71.567,152.475
57.716,19.482,983783,-1790991,-71.353,151.22
51.274,18.414,1034234,-1790991,-71.131,149.995
52.191,19.552,1084684,-1790991,-70.901,148.799
50.685,17.835,1135135,-1790991,-70.663,147.633
51.541,18.097,1185585,-1790991,-70.417,146.497
56.448,19.642,1236036,-1790991,-70.164,145.389
59.377,16.315,1286486,-1790991,-69.905,144.31
61.313,15.794,1336936,-1790991,-69.639,143.259
55.732,17.01,1387387,-1790991,-69.366,142.237
55.17,16.322,1437837,-1790991,-69.087,141.242
57.159,17.844,1488288,-1790991,-68.803,140.274
53.982,17.745,1538738,-1790991,-68.513,139.332
52.657,16.771,1589189,-1790991,-68.218,138.417
51.666,15.434,1639639,-1790991,-67.918,137.526
54.92,15.266,1690090,-1790991,-67.613,136.66
57.127,17.613,1740540,-1790991,-67.304,135.818
44.974,19.156,1790991,-1790991,-66.99,135.0
50.833,19.35,1841441,-1790991,-66.673,134.204
58.771,17.127,1891891,-1790991,-66.351,133.431
50.677,18.149,1942342,-1790991,-66.026,132.678
84.612,43.043,428828,-1740540,-73.61,166.159
85.065,44.508,479279,-1740540,-73.495,164.604
62.156,24.597,529729,-1740540,-73.368,163.072
57.792,28.014,580180,-1740540,-73.23,161.565
51.17,32.177,630630,-1740540,-73.081,160.084
49.96,22.513,681081,-1740540,-72.92,158.629
47.948,22.143,731531,-1740540,-72.75,157.203
45.385,20.466,781982,-1740540,-72.568,155.807
53.325,20.575,832432,-1740540,-72.377,154.44
54.765,21.2,882882,-1740540,-72.177,153.104
55.218,19.102,933333,-1740540,-71.967,151.798
51.925,19.499,983783,-1740540,-71.749,150.524
53.597,19.776,1034234,-1740540,-71.521,149.281
47.451,17.998,1084684,-1740540,-71.286,148.069
50.783,18.471,1135135,-1740540,-71.043,146.889
49.452,18.068,1185585,-1740540,-70.792,145.739
53.908,20.702,1236036,-1740540,-70.534,144.62
53.586,15.848,1286486,-1740540,-70.269,143.531
51.303,17.849,1336936,-1740540,-69.998,142.472
55.231,18.913,1387387,-1740540,-69.72,141.442
53.079,17.934,1437837,-1740540,-69.436,140.44
53.555,18.819,1488288,-1740540,-69.147,139.467
51.956,18.534,1538738,-1740540,-68.852,138.521
51.584,17.28,1589189,-1740540,-68.552,137.603
51.742,15.974,1639639,-1740540,-68.247,136.71
52.116,15.846,1690090,-1740540,-67.937,135.843
57.173,16.185,1740540,-1740540,-67.623,135.0
55.596,18.096,1790991,-1740540,-67.304,134.182
51.759,17.512,1841441,-1740540,-66.982,133.386
43.788,17.59,1891891,-1740540,-66.655,132.614
57.418,18.059,1942342,-1740540,-66.325,131.864
56.309,20.411,1992792,-1740540,-65.992,131.135
78.753,37.853,428828,-1690090,-74.052,165.763
70.086,25.064,479279,-1690090,-73.933,164.168
61.965,25.107,529729,-1690090,-73.803,162.597
54.879,22.409,580180,-1690090,-73.661,161.054
52.034,23.661,630630,-1690090,-73.508,159.538
48.731,22.09,681081,-1690090,-73.343,158.051
42.398,19.328,731531,-1690090,-73.168,156.595
41.164,17.932,781982,-1690090,-72.982,155.171
47.706,19.448,832432,-1690090,-72.786,153.778
56.735,20.587,882882,-1690090,-72.58,152.418
48.597,17.245,933333,-1690090,-72.366,151.091
57.322,19.791,983783,-1690090,-72.142,149.797
57.265,18.994,1034234,-1690090,-71.909,148.536
51.057,19.422,1084684,-1690090,-71.669,147.308
58.804,20.633,1135135,-1690090,-71.42,146.113
53.516,17.998,1185585,-1690090,-71.164,144.951
53.587,18.549,1236036,-1690090,-70.901,143.82
44.418,18.078,1286486,-1690090,-70.63,142.722
46.906,18.131,1336936,-1690090,-70.354,141.654
49.998,17.896,1387387,-1690090,-70.07,140.618
50.994,18.799,1437837,-1690090,-69.781,139.611
48.469,17.151,1488288,-1690090,-69.487,138.633
47.041,17.216,1538738,-1690090,-69.186,137.684
49.364,17.531,1589189,-1690090,-68.881,136.762
53.346,15.57,1639639,-1690090,-68.571,135.868
52.443,16.967,1690090,-1690090,-68.256,135.0
53.729,16.427,1740540,-1690090,-67.937,134.157
58.04,16.67,1790991,-1690090,-67.613,133.34
52.172,16.491,1841441,-1690090,-67.286,132.546
57.629,16.73,1891891,-1690090,-66.955,131.775
56.959,20.022,1942342,-1690090,-66.62,131.028
55.083,20.485,1992792,-1690090,-66.282,130.301
68.232,31.828,428828,-1639639,-74.493,165.343
72.663,32.492,479279,-1639639,-74.372,163.706
68.337,23.37,529729,-1639639,-74.237,162.096
53.294,24.66,580180,-1639639,-74.091,160.514
48.272,16.607,630630,-1639639,-73.933,158.962
53.29,29.389,681081,-1639639,-73.764,157.443
54.103,20.092,731531,-1639639,-73.584,155.956
49.603,18.382,781982,-1639639,-73.393,154.502
52.303,23.571,832432,-1639639,-73.193,153.083
51.637,21.939,882882,-1639639,-72.982,151.699
54.314,18.242,933333,-1639639,-72.762,150.35
57.303,19.302,983783,-1639639,-72.532,149.036
54.003,18.945,1034234,-1639639,-72.295,147.758
48.28,19.727,1084684,-1639639,-72.048,146.514
55.801,18.722,1135135,-1639639,-71.794,145.305
